university,h-index
Indian Institute of Technology Indore,25
Indian Institute of Technology Bombay,81
Indian Institute of Technology Kanpur,83
Indian Institute of Technology Patna,20
Indian Institute of Technology Delhi,92
Indian Institute of Technology Jammu,6
Indian Institute of Technology Mandi,13
Indian Institute of Technology Goa,34
Indian Institute of Technology Tirupati,15
Indian Institute of Technology Dharwad,38
"Indian Institute of Technology (Indian School of Mines), Dhanbad",30
Indian Institute of Technology Bhilai,11
Indian Institute of Technology Banaras Hindu University,26
Indian Institute of Technology Jodhpur,14
Indian Institute of Technology Guwahati,48
Indian Institute of Technology Bhubaneswar,21
Indian Institute of Technology Ropar,19
Indian Institute of Technology Gandhinagar,12
Indian Institute of Technology Roorkee,61
Indian Institute of Technology Madras,83
Indian Institute of Technology Hyderabad,20
Indian Institute of Technology Palakkad,10
